Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R40,33R,R_0402_1005Metric,12.733657,-49.879999,180.0,top
R41,33R,R_0402_1005Metric,12.723657,-48.939999,180.0,top
R42,47K,R_0402_1005Metric,29.501599,-78.972149,90.0,top
R43,93R1,R_0201_0603Metric,13.827274,-63.429898,90.0,top
R44,4K7,R_0402_1005Metric,16.133657,-38.069999,-90.0,top
R45,10K,R_0402_1005Metric,12.183657,-70.199999,90.0,bottom
R47,33R,R_0402_1005Metric,15.574616,-78.1179,135.0,bottom
R48,33R,R_0402_1005Metric,14.871348,-77.434167,135.0,bottom
R49,33R,R_0402_1005Metric,12.219584,-73.512919,135.0,bottom
R5,1K,R_0402_1005Metric,27.43,-57.35,180.0,top
R51,93R1,R_0201_0603Metric,14.530583,-63.425271,90.0,top
R52,93R1,R_0201_0603Metric,15.938872,-63.435495,90.0,top
R53,93R1,R_0201_0603Metric,15.244817,-63.429942,90.0,top
R54,93R1,R_0201_0603Metric,11.640459,-63.437311,90.0,top
R55,93R1,R_0201_0603Metric,10.942549,-63.425743,90.0,top
R56,93R1,R_0201_0603Metric,13.098648,-63.435565,90.0,top
R57,93R1,R_0201_0603Metric,12.405614,-63.435046,90.0,top
R58,196R,R_0201_0603Metric,14.157471,-62.384173,180.0,top
R59,196R,R_0201_0603Metric,15.582406,-62.384173,0.0,top
R6,27R,R_0402_1005Metric,13.34,-54.475,0.0,top
R60,196R,R_0201_0603Metric,11.316567,-62.376949,0.0,top
R61,196R,R_0201_0603Metric,12.755313,-62.390841,0.0,top
R7,27R,R_0402_1005Metric,13.34,-55.475,0.0,top
R8,100R,R_0402_1005Metric,19.825,-37.275,180.0,top
R9,4K7,R_0402_1005Metric,13.733657,-37.424318,-90.0,top
RN1,220R,R_Array_Convex_4x0402,3.93,-12.82,180.0,top
RN10,33R,R_Array_Convex_4x0402,8.683657,-62.599424,0.0,top
RN2,220R,R_Array_Convex_4x0402,8.54,-3.44,0.0,bottom
RN3,220R,R_Array_Convex_4x0402,4.5,-108.63,90.0,top
RN4,220R,R_Array_Convex_4x0402,8.61,-8.44,0.0,bottom
RN5,33R,R_Array_Convex_4x0402,17.533993,-63.116796,-90.0,top
RN6,33R,R_Array_Convex_4x0402,10.049774,-77.523222,-135.0,top
RN7,33R,R_Array_Convex_4x0402,9.275472,-79.509311,135.0,bottom
RN8,33R,R_Array_Convex_4x0402,20.033657,-62.402219,90.0,top
RN9,33R,R_Array_Convex_4x0402,5.688177,-71.944062,180.0,top
SW2,SW_Tactile_SPST,SW_SPST_SKQG_WithStem,21.94,-27.75,-90.0,top
SW3,RotaryEncoder_Switch,RotaryEncoder_Bourns_Horizontal_PEC09-2xxxF-Sxxxx,8.465,-5.95,180.0,top
U1,USBLC6-2P6,SOT-666,8.433657,-14.949999,0.0,bottom
U10,TLV62569ADRLR,SOT-563,27.933657,-79.199999,-90.0,top
U11,Si5351A-B-GT,MSOP-10_3x3mm_P0.5mm,12.204508,-83.326356,90.0,bottom
U12,W25Q128JVP,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm,24.083657,-39.199999,0.0,top
U13,PI3HDX511E,Diodes_ZL32_TQFN-32-1EP_3x6mm_P0.4mm_EP1.25x3.5mm,12.933657,-43.449999,180.0,top
U14,PCA9306,SSOP-8_2.95x2.8mm_P0.65mm,17.183657,-33.949999,-90.0,top
U2,RP2040(QFN-56_7x7mm_P0.4mm),QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias,21.09,-57.25,90.0,top
U3,USBLC6-4SC6,SOT-23-6,8.433657,-29.949999,0.0,bottom
U4,H11L1SR2M,DIP-6_W8.89mm_SMDSocket_LongPads,19.655,-85.845,90.0,bottom
U5,AP63200WU,TSOT-23-6,20.455,-84.4125,90.0,top
U6,74AUC1G79,SOT-23-5,13.183657,-66.699999,90.0,bottom
U7,PCA9635 LED DRIVER,TSSOP-28_4.4x9.7mm_P0.65mm,21.965,-7.3125,-90.0,top
U8,TUSB322I,Texas_X2QFN-12_1.6x1.6mm_P0.4mm,8.46922,-22.931686,90.0,top
U9,AP2161W,SOT-23-5,15.5525,-26.383593,0.0,top
Y1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,28.556811,-59.6608,0.0,top
Y2,25MHz AMB8G,Crystal_SMD_3225-4Pin_3.2x2.5mm,12.400798,-88.412359,180.0,bottom
